研究課題/領域番号,研究課題名,研究課題名 (英文),教員名,研究代表者,キーワード,研究分野,研究内容,研究内容 (英文)
23500195,時空間に関する人間の直観的知識の表現と計算に関する研究,Study on Representation and Computation of Human Intuition of Space and Time,横田 将生,"横田 将生 福岡工業大学, 情報工学部, 教授 (50112313)",直感 / ロボット / 知能 / 時空間 / 自然言語 / 知能ロボット / 人工知能 / 認知ロボット学 / 知識表現,知能情報学 / 情報学 / 総合領域 / 総合・新領域系,イメージ現象との関連において人間の直感の機能的モデルを提案した。そのモデルは、人間の認知機構は知覚、直感、論理の大きく３つの層よりなると仮定している。第１層の知覚では外界刺激から漠然として分節されていないイメージが生成される。第２層の直感では知覚されたイメージを論理的な間接的過程を経ずにハードウェア的に直接分節する。最後に、第３層の論理がその直感イメージの分節に対して知識を用いたソフトウェア的推論により修正を加える。今回提案した機能は一般的に実現しようとすると非常に困難であるが本研究者の知識表現言語Lmdでのイメージ記述に基づけば従来の方法よりも容易に実現できると考えている。,"The author considered human intuition in association with mental images and proposed a functional model of human intuition where it was defined as a set of procedural functions specialized for facilitating cognition of significant matters in perception of external stimuli, for example, instinctive detection of dangerously keen objects. There was proposed a multilayered model of human cognition of the external world. The model consists of three main processing components, namely, (1) Perception, (2) Intuition and (3) Reason. At the first layer, Perception produces vague and unarticulated images (i.e., perceptive images) from external stimuli. At the second layer, Intuition translates perceptive images into articulated ones (i.e., intuitive images) with direct knowledge but any mediate knowledge yielded by reasoning. Finally, Reason with Knowledge calibrates intuitive images into rational images, so called, by inference employing various kinds of knowledge."
23360071,ナノ多結晶ダイヤモンドと各種遷移金属との間に生じる熱化学反応機構の解明,Mechanism of Thermochemical-Mechanical Reactions between Nano-Polycrystalline Diamond and Polycrystalline Diamond Disk Generated under Dry Grinding,仙波 卓弥,"仙波 卓弥 福岡工業大学, 工学部, 教授 (30154678)",ナノマイクロ加工 / ナノ多結晶ダイヤモンド / 焼結ダイヤモンド / 遷移金属 / 熱化学反応 / マイクロナノ加工 / 超精密加工 / 高硬度金型材料 / 電気陰性度 / 標準自由エネルギー,生産工学・加工学 / 機械工学 / 工学 / 理工系,本研究では，ナノ多結晶ダイヤモンド(NPD)と焼結ダイヤモンド(PCD)製ツルーアとの間に生じる，熱化学反応のメカニズムを解明するための実験的研究を行った．焼結助剤として用いられているCoを遷移金属や高比熱材料で置換したPCD製円板をツルーアに使用し，NPD製ノーズRバイトのすくい面に対して乾式研削を行った．その結果，NPDの表面に生成された熱変質層が，CD製ツルーアの砥石作用面に露出しているダイヤモンド砥粒で除去されるといったメカニズムでNPDから切りくずが除去される場合には，1 nm Rz以下の平坦かつ平滑な研削加工面が得られることが明らかになった．,"A polycrystalline diamond (PCD) disk, in which the cobalt (Co) commonly used as a sintering aid is replaced with a transition metal or a high-specific-heat material, was used as a truer, and dry grinding of a laser-preformed rake face of a radius-cutting tool made of nano-polycrystalline diamond (NPD) was conducted to clarify the mechanism by which a chip is removed from the rake face. The grinding test revealed that the surface roughness decreased with increasing specific heat capacity of the material replacing the Co when the heat-damaged layer, in which the diamond structure was transformed to that of graphite, was removed by diamond grains on the working surface of the truer. A ground surface roughness of 0.5 nm Rz was obtained when the truer with Co replaced by boron carbide (B4C) was employed."
11J11199,MANETのためのテストベッドおよび新たなプロトコルの実装,,クラ エリス,"クラ エリス 福岡工業大学, 大学院工学研究科, 特別研究員(PD)",MANET / 経路制御プロトコル / テストベッド / 室内外環境 / Horizontal/Verticalトポロジ / モビリティ / ファジー理論 / サーベイ / 室内・室外環境 / メッシュ・リニアトポロジ / MANETネットワーク / 無線ネットワーク,計算機システム・ネットワーク / 情報学 / 総合領域,"本研究では、実際にMANETに関する実験環境を増築し、多種のプロトコル、伝搬モデルを評価するとともに新たなプロトコルとの比較・解析を行った。また、ネットワーク・シミュレーション・システムに多種のトポロジモデルと移動モデルを実装し、多種の移動モデルを想定した特性解析を行った。当該年度に実施した主な3つの研究を述べる。第1に「経路制御プロトコルの拡張(OLSR、BATMAN、AODV、DYMO、DSR)」として、新たにリアクティブ型の経路制御プロトコルのDYMO、DSRの経路制御プロトコルを考慮した、シミュレーションを行えるようにした。これにより、各プロトコルの比較解析が向上した。第2に、「複数の建屋間、屋内・屋外の階段等の環境におけるマルチホップ通信による性能分析」として、各経路制御プロトコルにおける経路管理機構の長所・短所を実験とシミュレーションを行い分析した。第3に「ネットワークシミュレータ(ns-2、ns-3)を用いた様々な移動モデルにおける通信特性の比較・検討」では、近年開発されたns-3とns-2を用いて実験では困難な大規模ネットワークにおける経路制御プロトコルの移動モデルによる通信特性を分析した。
本研究の成果として、国際会議が19編(第1著者5編)となっている。また、EIDWT-2013国際会議では""Best Paper""賞を受賞しており、本研究の新規性と有用性及び国際性が認められる。今後は、テストベッドの拡張と応用の開発、特にロボット通信と車車間ネットワークへの適用を目指す。また、異なるトポロジと異なるフロー数の比較評価及び研究の総まとめを行う。期待通り研究が進展しており平成25年9月25日に博士(工学)の学位を取得した。",
11J11198,セキュアJXTA-Overlay P2Pシステムの実装と評価,,スパホ エブヨラ,"スパホ エブヨラ 福岡工業大学, 大学院工学研究科, 特別研究員(PD)",P2Pシステム / JXTA-Overlay / 車車間ネットワーク / CAVENET / 遺伝的アルゴリズム / ファジィ理論 / モノのインターネット / メッシュネットワーク / セキュリティ,計算機システム・ネットワーク / 情報学 / 総合領域,"本研究は、セキュアJXTA-Overlay P2Pシステムの実装と評価を、理論的な計算、環境開発、シミュレーション、および実験の4段階によって実施した。研究目的を達成するために、次の点について研究を行った.
●ヘテロジニアス環境での遠隔教育P2Pシステム
●ヘテロジニアス環境でのロボット協調システム
●車車間ネットワークへの応用
●メッシュネットワークへの応用
まず、ヘテロジニアス環境での遠隔教育のためのP2Pシステムの実装を行った。ピアをグループごとに管理したい場合に、ピアグループ機能、ピア監視とグループとタスクの監視機能を実装した。これは、自閉症患者のための教育支援システムとして複数のセンサデバイスを協調させたモノのインターネット(Internet of Things : IoT)の応用研究である。さらに、教育支援のためのデバイスの開発も行った。次に、ロボット協調システムの応用としてスマートボックスとRFIDを統合したIoTのアプローチに基づいたロボットコントロールのための統合システムの実装と提案をした。JXTA-Overlayにファジィ理論を組み合わせることによる新しい機能の実装と評価を行った。
車車間ネットワークへの応用として、ロケーション情報やVoIPのトラフィックを送信した時のネットワーク性能について計算機シミュレーションと、評価を行った。メッシュネットワークへの応用としては、ヒューリスティック手法の遺伝的アルゴリズム、焼きなまし法、山登り法をメッシュルータの配置最適化に適用させる手法について提案し評価を行った。本手法により多種多様な環境におけるメッシュルータ配置を実現することが可能になった。",
22760658,デジタルミリ波干渉計の開発による密度分布測定の高精細化の研究,Development of digitally-controlled millimeter-wave interferometer for precise density distribution measurement,近木 祐一郎,"近木 祐一郎 福岡工業大学, 工学部, 准教授 (10398109)",プラズマ計測 / 干渉計 / 密度分布計測 / 密度分布イメージング / NRDガイドアンテナ / 電子密度分布計測 / ミリ波,核融合学 / 総合工学 / 工学 / 理工系,密度分布をより高精細に測定できる簡易なミリ波干渉計システムを提案した。本干渉計に必要な放射方向可変アンテナの開発を進め、70-78GHzの周波数変化で25°の放射方向可変特性があることを確かめた。実験室において、プラズマを模擬した誘電体板に対して、開発されたアンテナを実装した干渉計システムを適用し、誘電体板の厚みと形状をイメージングできることを実証した。,"We have proposed digitally controlled millimeter-wave interferometer for precise density distribution measurement. Firstly, we have developed the antenna, that can scan the probe beam in the azimuth plane. It was confirmed that the developed antenna has an ability to scan its beam injection angle within 25 degree by changing the input frequency from 70 to 78 GHz. The proposed interferometer was developed with the antenna, and applied to the dielectric plate for validation of the interferometer performance. As a result of the validation, the interferometer could clearly detect the cross sectional shape of the plate, as well as its thickness."
22720227,日本・韓国・中国の国際語としての英語学習者の特徴的文法と理解度に関する比較研究,"Comparative Study of the Characteristic Grammar of L2 English Learners in Japan, South Korea, and China and Mutual Intelligibility",岡裏 佳幸,"岡裏 佳幸 福岡工業大学, 社会環境学部, 准教授 (00389397)",国際的理解度 / 文法的特徴 / 英文ライティング / 日本人英語学習者 / 韓国人英語学習者 / 中国人英語学習者 / 英文エッセイ / ライティングテスト / 理解度判断テスト / 文法テスト / リーディングテスト / 国際情報交換 / 韓国：中国：カナダ / 国際英語 / 特徴的文法 / 英語学習者 / 国際語としての英語 / 文法性判断テスト / 第二言語習得,外国語教育 / 言語学 / 人文学 / 人文社会系,日本人英語学習者、韓国人英語学習者、中国人英語学習者の英文ライティングには、語順の誤りは若干見受けられたが、これらの誤りと母語の語順との関連は認められなかった。国際的理解度については、誤解が生じるケースが見られたが、英文ライティングのテーマである各国の文化についての知識の欠如と、今回の研究対象とした英語学習者の英文内容理解力が劣っていたことも、理解度が低くなった原因のひとつと考えられる。,"Although we have found out some errors in word orders in English writings by Japanese, Korean, and Chinese L2 learners of English, but we have not recognized the relation between these errors and the word orders of Japanese, Korean, and Chinese languages. As for international intelligibility, we have found misunderstandings among these L2 English learners. The main reason for this is that L2 English learners have little knowledge of the culture of each vountry, which is the topic of the English essay, leading to the less international intelligibility. Moreover, the English proficiency of L2 learners is generally fundamental or intermediate, and therefore their lack of understanding of English contents is regarded as another reason for the less international intelligibility."
22700831,議論実践熟達化総合モデルおよび実践コミュニティ創生型議論評価システムの開発,Development of the argumentation integrated model and the system for evaluation for community of practice.,中野 美香,"中野 美香 福岡工業大学, 工学部電気工学科, 准教授 (60452819)",議論 / 評価 / コミュニケーション / 教授学習 / 高等教育 / 実践コミュニティ / 熟達化 / ディベート / 工学教育 / カリキュラム開発 / 評価指標 / 学習環境,教育工学 / 科学教育・教育工学 / 総合領域 / 総合・新領域系,"本研究は領域を越えた知の基盤となる議論力に注目し,大学生の議論力の育成を目的とする。この目的を達成するために,本研究は〔1〕大学生の議論熟達化総合モデルを開発するとともに,〔2〕実践コミュニティ創生型議論評価システムを構築する。この二段階の研究を遂行することにより,これまで教育・研究が困難と捉えられてきた議論スキルという曖昧な教育対象の全容を浮き彫りにし,インタラクションに関わる教育研究の理論的・実践的研究の融合・発展に貢献する。さらに熟達化モデルに基づく実践コミュニティ創生型議論評価システムによって,知識基盤社会における教育への多様化するニーズに応えるだけでなく,議論を通じた創造的対話の価値を日本社会に広く発信する。","The present research aims at cultivating argumentative skills of Japanese college students for the base of the interdisciplinary-intellectual ability. There are two subordinate purposes to achieve this goal: (1) to develop integrated process model of argumentative skills, and (2) to construct evaluation system of argumentative skills which contribute to construct the community of practice. These themes lead to clarify the whole picture of ambiguous argumentative skills which has been considered difficult to research, and contribute to integration and development of theory and practice of educational research on interaction. Also the outcomes can be utilized for the present education of knowledge-based society, and spreading value of creative dialogue through argument."
22560841,水流によるフラッタ発電技術の開発,Development of Flapping Wing Hydroelectric Power Generation System,阿比留 久徳,"阿比留 久徳 福岡工業大学, 工学部, 教授 (60425238)",自然エネルギーの利用 / 水力発電 / 自然エネルギー / フラッター / フラッタ,エネルギー学 / 総合工学 / 工学 / 理工系,"水流で翼に生じるフラッタ現象を利用する発電方式について実験的検討を行い,以下の成果を得た.(1)低翼端速度で発電効率が優れることを明らかにした.(2)流路幅を有効利用するために翼列化する場合の隣接翼の間隔および振動位相差の影響を明らかにし,発電量を最大化する条件を得た.(3)H23年までフラッタ現象を生じさせるために使用していた補助動力を必要としない方式を開発し,性能がそれまでの方式と同等であることを確認した.","The following results were obtained through the experimental investigations of a hydroelectric generation system utilizing a flapping wing.(1) The system has a high efficiency at lower tip speed regions. (2) In a cascade-wing generator, the influence of the gap and the oscillation phase between the adjacent wings was clarified. The condition for optimizing the power generation was obtained. (3) The generator without a subsidiary power motor for exciting the pitching motion of the wing was developed. Tests revealed that the performance is equivalent to the former one."
22560151,自動車用懸架装置の生態学化・単純化・コンパクト化・軽量化に関する研究,"Investigations on the Structural Simplification, Compact, Light andEcological Design of a Vehicle Suspension",SUCIU C.V,"SUCIU C.V 福岡工業大学, 工学部, 教授 (20412611)",懸架装置 / コロイダルダンパー / 単純化 / コンパクト化 / 軽量化 / エコ化 / 機械要素の最適設計 / 車両の乗心地 / 機械要素・トライボロジー / 懸架装置(サスペンション部) / ナノダンピング / 単純化・コンパクト化・軽量化 / 最適設計 / 生態学化（エコ化） / 自動車の快適性（乗心地） / 生態学化(エコ化) / 自動車の快適性(乗心地),設計工学・機械機能要素・トライボロジー / 機械工学 / 工学 / 理工系,車両用懸架装置の生態学化・単純化・コンパクト化・軽量化に関する研究を行い、具体的には油圧ダンパーと圧縮コイルばねとの並列構造を用いた古典的な懸架装置の代わりに圧縮コイルばねとオイルを不要としたコロイダル懸架装置を開発する。つまり、油の代わりに水と疎水化多孔質シリカゲル(人工的な砂粒子)からなる環境に優しいコロイド溶液を使用し、同時に懸架装置の内外部構造の単純化・コンパクト化・軽量化を達成する。,"In this work structural simplification, compact, light and ecological design of a vehicle suspension is achieved by using a colloidal damper with a dual function of absorber and compression helical spring. Concretely, the classical suspension, consisted of an oil damper connected in parallel with a compression helical spring, is replaced by a colloidal suspension, in which case the spring and the oil are unnecessary. Thus, the oil is replaced by an ecological colloid consisted of water and hydrophobized porous silica gel (particles of artificial sand). In the same time, it is possible to achieve a simpler, lighter and compact design for both the internal and external structure of the vehicle suspension."
22530596,原子力災害による被害住民の社会的救済に関する実証的研究,Empirical research of social relief of the local resident who received damage according to the accident of nuclear installation,山室 敦嗣,"山室 敦嗣 福岡工業大学, 社会環境学部, 准教授 (90352286)",原子力災害 / 社会的救済 / 生活保全 / 住民のためらい / 東海村 / 経験論 / 救済,社会学 / 社会学 / 社会科学 / 人文社会系,本研究は、原子力災害による被害からの社会的救済について分析するための枠組みを生活保全という視点から構築した。枠組み構築にあたって主に用いた事例は、東海村で発生したJCO臨界事故によって被害をうけた地域住民が、原子力立地点で生活を続けるために受苦に対して長年にわたり向き合ってきた事例である。また、原子力開発にともなう被害は、近現代日本のエネルギー開発のなかに位置づけ理解することも必要であると考え、環境史的な観点からの研究も行った。,"This research built the framework for analyzing about the social relief from the damage caused by a nuclear accident from the viewpoint of life preservation. The example mainly used in framework construction is an example which has coped with the damage over many years, in order that the local resident who received damage by the JCO criticality accident which occurred in Tokai Village may continue a life there. Moreover, I thought that the damage accompanying atomic energy development also needed to position into the energy development of modern Japan and to understand, and also did research from a viewpoint of environmental history."
22530355,第1次世界大戦期ドイツにおける社会保険の動向,Social Insurance System in Germany during the World War One,加来 祥男,"加来 祥男 福岡工業大学, 社会環境学部, 教授 (30024988)",経済史 / 社会保障 / 社会保険 / ドイツ / 第1次世界大戦 / 社会政策 / 疾病保険 / 労災保険 / 廃疾保険,経済史 / 経済学 / 社会科学 / 人文社会系,ドイツの社会保険制度は世界に先駆けて18080年代に成立し、その後も制度の整備を伴いながらドイツ社会に定着した。第1次世界大戦は、社会保険制度にとっては想定外のものであり、種々の対応措置がとられた。その多くは戦争という特殊事情に合わせたものであり、制度の根幹は維持された。そして、そうした枠組みの中で社会保険制度は戦争期間中もその機能を果たした。,"German social insurance system was formed in 1880years, earlier than any other countries in the world. As a big war as World War One was not assumed in German insurance system, various measures had to be taken in order to cope with the situation occurred by the war. Many of them were extraordinary, and the basic framework of the insurance system was sustained. German social insurance system fulfilled its primary function during World War One."
22500600,ハイビジョンカメラによるゴルフボ-ルの3次元位置計測用追尾システムの研究,3-D Navigation System on Golf Ball Flight by High VisionCamera Images,溝田 武人,"溝田 武人 福岡工業大学, 工学部, 教授 (10038557)",スポーツ工学 / ゴルフボール / 硬式野球ボール / 3 次元軌道 / 画像処理 / サッカーボール / 三次元位置計測 / ハイビジョンカメラ / ズーミング機構 / 軌道予測 / 3次元飛翔軌道 / 風洞実験 / 空力特性 / 機械力学・制御 / 画像認識,スポーツ科学 / 健康・スポーツ科学 / 総合領域 / 総合・新領域系,"飛翔中のゴルフボールの位置(X、Y、Z)をハイビジョンカメラ映像から求める.カメラを上下、左右に向けさらにレンズをズーミングさせる.回転角度やズーム情報は雲台やレンズ部に装着したエンコーダからの出力信号により得る.画面内のゴルフボールの位置情報は画像処理により求める.これらを統合して、ボールの(X,Y,Z)情報が求まる.現在これらのハードウェアと画像処理システムが完成しており、実地テストにより改良を行っている.","The 3-D trajectories (X, Y, Z) of golf ball flight are captured by Hi-vision camera images. The signals of various directions and zooming of the camera are detected by the pulse signals of rotary-encoder, which mounted on camera platform. The position information of the ball on TV display is analyzed by image processing software. After integration of the information, we can get the golf ball position (X, Y, Z) in every time step t. Now, we had completed these hard wares and image processing system. Some refinements of the system are conducting on the field testing."
22500077,ヘテロジニアス環境でのJXTA-OverlayP2Pシステムの実装と評価,Implementation and Evaluation of JXTA-Overlay P2P System inHeterogeneous Environments,BAROLLI Leonard,"BAROLLI Leonard 福岡工業大学, 情報工学部, 教授 (40312722)",P2P システム / JXTA-Overlay / 車車間ネットワーク / V2V / MANET / ファジ ィ理論 / セキュリティ / P2Pシステム / ヘテロジ二アス環境 / P2P応用 / 知的手法 / SmartBox / P2P遠隔教育システム / ヘテロジニアス環境,計算機システム・ネットワーク / 情報学 / 総合領域 / 総合・新領域系,"通信技術には,2つの大きな流れがある。一つはインターネットに代表されるクライアント・サーバ・システムともう一つはP2Pシステムである。最近のP2Pシステムはその技術的な特徴からシステム設計や実装において新しい分野を生み出している。JXTAを用いたP2Pの研究が数多く開始されてきている。JXTAは各種サービスに必要とされる共通のアプリケーション要件を提供することによって、あらゆるP2Pサービスを実行できるプラットフォームである。JXTA-Overlayは、JXTAベースのアプリケーションに必要とされる基本的な機能を提供するものである。本研究では、ピアグループ機能、ピアの監視、ピアグループとタスクの監視、ICタッグカード機能、ユーザのPresence機能とセキュリティ機能を設計し実装を行った。また、知的アルゴリズムに基づいてP2Pシステムのリソース割り当てとピアの信頼性のための新しいアルゴリズムの提案と実装を行った。そして、遠隔P2Pシステム、ロボット協調システム、アドホック・ネットワークおよび車車間ネットワークの応用について研究を行った。","As communication technologies, there are two approaches: one is Client-Server system and the other one P2P systems. Recently, there are many applications related with P2P systems and they have opened a new field of research. In P2P research, there are many works which are based on JXTA framework. The JXTA platform support many P2P services and applications and the users can use them in a transparent way. Our platform JXTA-Overlayis an effort to use JXTA technology for building an overlay on top of JXTA offering a set of basic functionalities that are most commonly needed in JXTA-based applications. In this research, we proposed and implemented many new functions for JXTA-Overlay such as: Peer-Group function, Peer control function, Peer-Group and Task functions, IC-Tag function, user presence function and security functions. Also, based on Intelligent Algorithms, we proposed and implemented new functions for resource allocation and Peer Reliability. As applications, we considered -Leraning P2P system, Robots interaction system, Vehicular Networks and Mobile Ad-Hoc Networks."
22340166,宇宙物質中の生体関連有機物の光学異性体比の超高感度分析法の開発,High sensitive enantiomeric analysis of bioorganic compounds for cosmic samples,三田 肇,"三田 肇 福岡工業大学, 工学部, 教授 (00282301)",生物圏地球化学 / 光学異性体 / 超高感度分析 / アミノ酸 / 炭素質隕石 / 光学異性体比 / 2次元HPLC / 蛍光検出 / マイクロマシン / 隕石 / 加水分解,地球宇宙化学 / 地球惑星科学 / 数物系科学 / 理工系,生命の起源を考える上で、アミノ酸の光学異性体の選択がどこで生じたのかが重要な課題の一つになっている。特に、近年、宇宙環境においてこの選択が生まれたと考えられるようになってきているが、これを明らかにするためには、多くの宇宙試料中のアミノ酸の光学異性体比を明らかにする必要があり、極微量の宇宙試料中の分析を可能にするための分析技術の確立が必要である。そこで、超高感度分析技術の開発を行ない、数十ミクロンの炭素質コンドライト粒子の分析ができることを確認した。,"Origin of homochirality of amino acids is one of the most important subjects for origins of life. Recently, it is thought that homochirality was achieved in the space environment. In order to confirm this hypothesis, small amount of enantiomeric ratio of amino acids should be determined in the space samples e.g. cosmic dusts. Therefore, we developed a high sensitive enantiomeric analysis system and demonstrated a analysis of very small particle of carbonaceous chondrite."
21700246,生理指標による楽曲聴取中の感情推定に基づく個人向け自動作曲システム,An Automatic Composition for Individual Using Physiological Indices for Presuming User's Emotion,福本 誠,"福本 誠 福岡工業大学, 情報工学部, 准教授 (60422028)",感性生理 / 感性情報学 / 音楽情報処理 / 進化計算 / 感情推定 / リラクセーション / 音楽 / 心拍,感性情報学・ソフトコンピューティング / 情報学 / 総合領域 / 総合・新領域系,"本研究では,これまでにないユーザの生体情報をもとに最適解探索を行う技術の提案を行う.この手法では,自動作曲を目的としており,例えばユーザの心拍を計測しながら楽曲のパターンを聴取することでユーザを安らがせる楽曲を自動的に作ることが一つの目標になる.実際にシステムを構築し,有効性を検証する実験を行ったところ,ユーザの主観的なリラックス感に近づく様子が観察された.ただし,この検証はまだ十分ではないため,現在もシステムの改良とその有効性の検証を続ける予定である.","In this work, I proposed a new evolutionary computation based on user's physiological state for searching optimal solution. The objective of this study was to compose music pieces. For example, with heartbeat information of the user, the proposed method would automatically compose a relaxation music piece for the user. To investigate the efficacy of the proposed method, a system based on the proposed method was constructed. Through the experiments, created music pieces with the system were evaluated as relaxing. However, the investigations were not enough to clarify the efficacy. Therefore, after the improvement of the system, I will continue the investigations of the proposed method."
21560421,ランダム粗面上電波伝搬特性の数値解析的研究,Numerical Study on Characteristics of Electromagnetic Wave Propagation along Random Rough Surface,内田 一徳,"内田 一徳 福岡工業大学, 情報工学部, 教授 (50099024)",無線通信 / 伝搬特性 / 後方散乱特性 / 電磁界計算 / ランダム粗面 / センサネットワーク / 離散型レイ・トレース法 / 電波伝搬 / 不均質伝搬環境 / 基地局最適配置 / DRTM法 / PSO法 / 通信距離 / センサーネットワーク,通信・ネットワーク工学 / 電気電子工学 / 工学 / 理工系,"ランダム粗面とみなされる複雑断面を有する地上伝搬問題と後方散乱問題を精度良く数値シミュレーションを行うために,数値解析手法として有効な離散型レイ・トレース法を提案し,また種々の特性を持つランダム粗面を生成できるアルゴリズムを開発した.ランダム粗面に沿う伝搬特性について数値解析した結果,電界強度分布の平均的な振る舞いが,振幅補正値と伝搬距離のオーダを用いた1波及び2波モデルによって,精度良く記述できることを明らかにした.",We have proposed a discrete ray tracing method to numerically simulate propagation along random rough surface and back scattering from it with a good accuracy. We have also developed an algorithm to generate various types of random rough surfaces. It has been demonstrated that the ensemble averages of electric field distributions can be described in a simple fashion based on the 1-ray or 2-ray model with amplitude modification factor and propagation order of distance.
21560342,紫青緑可視短波長II-VI光磁性半導体薄膜の開発,"DEVELOPMENT OF THEII-VI MAGNETO-OPTICAL SEMICONDUCTOR THIN FILMS FOR THEIR APPLICATION AT VIOLET, BLUE AND GREEN WAVELENGTHS",今村 正明,"今村 正明 福岡工業大学, 工学部, 教授 (40111794)",MBE / エピタキシャル / 磁性半導体 / 超格子 / スピントロニクス,電子・電気材料工学 / 電気電子工学 / 工学 / 理工系,II-VI族で広いバンド幅を持つ磁性半導体は、緑色また青色半導体レーザへ光素子としての応用可能性を持つ。研究の主な対象とするZnMnTeとZnMnSeは、光吸収端がそれぞれ428-544nm、428-458nmである。結晶性では、ZnMnTeとZnMnSeにおいて、CdMnTeで最も優勢に観測される<111>成長が同様に観測された。本研究では、主に石英ガラス上に2.mの厚さに堆積させたそれらの膜のファラデー回転(光磁気特性)を研究し、532nmの緑色半導体レーザにその特性が適合することを明らかにした。また交流磁界下のファラデー回転を観測し、光磁気センサ応用の可能性を示した。,"II-VI based magnetic semiconductors with a wide optical band gap are expected to show high potential for optical applications utilizing short wavelength laser diodes. ZnMnTe and ZnMnSe exhibit their absorption edges at 428-544 nm and 428-458 nm, respectively. We have confirmed that the Faraday rotation angle in the ZnMnTe films deposited on quartz glass substrates is large near the absorption edge. On crystallinity, the preferred(111) growth reported previously for CdMnTe films on QG substrates was also observed in the ZnMnTe and ZnMnSe films. The Faraday rotation angle of those films synthesised on QG substrates by using molecular beam epitaxy with a thickness of 2 micron-meters has been studied. A Faraday-effect signal observed for the ZnMnTe film using a 532-nm green LD has shown that ZnMnTe films are useful for green lights. We developed equipment for observing the Faraday effect directly under ac magnetic fields generated by a ring magnet. The results of a direct Faraday rotation observation sucessfully made for the ZnMnTe films under ac fields have been shown."
21560281,昆虫の飛行を規範とした超小型飛翔体の開発,Study on the micro air vehicles mimicking the insect flight,河村 良行,"河村 良行 福岡工業大学, 工学部知能機械工学科, 教授 (90167362)",羽ばたき飛行 / MAV / 風洞 / 制御 / 昆虫 / ＭＡＶ / 飛翔,知能機械学・機械システム / 機械工学 / 工学 / 理工系,昆虫の飛行法を規範として、超小型の羽ばたき飛翔体(MAV)の研究開発を行った。初めに、自動制御技術を駆使し、風洞内で超小型の羽ばたき飛翔体が自由飛行(無支持で飛行すること)出来る「風洞内飛行実験システム」の開発研究を行い、その試作に成功し風洞内で羽ばたきMAVを安定に飛行させることに成功した。このような風洞装置はおそらく他に類を見ないものであり、本研究の大きな成果である。これを用いて羽ばたき飛翔体の飛行の研究を進め、研究開始当初は4枚翼の疑似的な羽ばたきMAVの飛行のみが可能であったが、最終的にはより昆虫や鳥の形状に近い2枚翼の羽ばたきMAVの飛行に成功した。,"We have performed the study on the micro air vehicles (MAV) mimicking the insects. On the first stage, making use of the automatic control technology, we have succeeded in developing the “Experimental system for the free flight in the wind tunnel”, in which the MAV can flight without any supporting rods or strings. We think that this system is very original one and cannot be found elsewhere. We also think that this system is one of the most important results in this research activity. Using this system, we have performed the research activity, and have succeeded in the flight of the flapping MAV with two wings, which is more similar to the real insects or birds, than in case of the flapping MAV with four wings."
21560022,鉄シリサイド強磁性相/半導体相人工格子の層間結合に及ぼす圧力効果とそのメカニズム,Pressure effect and its mechanism of interlayer coupling on the artificial lattice with semiconductor/ferromagnetic phaces of iron silicide.,武田 薫,"武田 薫 福岡工業大学, 工学部, 講師 (90236464)",ヘテロ構造 / 鉄シリサイド / 人工格子 / 静水圧力 / 電気抵抗率 / 超格子 / 量子井戸 / スピントロニ / 圧力効果 / スピントロニクス,応用物性・結晶工学 / 応用物理学・工学基礎 / 工学 / 理工系,強磁性体のFe3Si単層膜と反強磁性結合したFe3Si/FeSi2の多層膜を静水圧中で2.6GPaまで圧力を印加して電気抵抗率を測定した。Fe3Si単層膜は圧力の増加に伴って電気抵抗率は増加しそして飽和する傾向を示した。反強磁性結合したFe3Si/FeSi2積層膜の抵抗率は圧力の増加に伴って単調に増加することがわかった。Fe3Si単層膜に対する電気抵抗率の圧力効果は+0.6%/GPa以下、FeSi2単層膜の圧力効果は+1.0%/GPa以下で変化し、さらにFe3Si/FeSi2積層膜ではAF結合膜では+2%/GPa以下であり、F結合では+1.0%/GPa以下であることがわかった。,"We present preliminary results of electrical resistivity measurements of Fe3Si/FeSi2 aetificial lattices under hydrostatic pressures up to 2.6GPa. The measurement have been performed on the Fe3Si single layer thin film and the[Fe3Si(25A)/FeSi2(7.5A)] 20 multilayer thin film with anti-ferromagnetically coupling among Fe3Si layers. For the Fe3Si single layer thin film, it is observed that the resistivity increases with increasing pressure, showing a tendency to saturate. On the other hand, it is found that the resistivity of the[Fe3Si(25A)/FeSi2(7.5A)]_<20> multilayer thin film increases monotonically with increasing pressure. The pressure effect of the resistivity for Fe3Si single layered thin film were less than+0.6%/GPa, and for FeSi2 single layered thin film, were less than+1.0%/GPa, and for the[Fe3Si(25A)/FeSi2(7.5A)] 0_<20> multilayer thin film with anti-ferromagnetically coupling, were less than+2%/GPa, and for ferromagnetocally coupling, were less than+1.0%/GPa."
